id	name	type	constlevel	mainpath	mainlevel	secondarypath	secondarylevel	weapon	armor	shockres	fireres	coldres	poisonres	darkvision	airshield	limitedregeneration	woundfend	fixforge	autodishealer	healer	alch	insa	hp	protf	protb	mr	morale	str	att	def	prec	enc	mapspeed	ap	reinvigoration	pen	stealth	stealthb	forest	mount	waste	swamp	fly	float	sailingshipsize	sailingmaxunitsize	waterbreathing	giftofwater	airbr	flytr	quick	eth	trample	bless	luck	foolsluck	barkskin	stoneskin	ironskin	curse	disease	cursed	taint	ldr-n	ldr-u	ldr-m	inspirational	fear	awe	animalawe	exp	chill	heat	gold	F	A	W	E	S	D	N	B	H	firerange	airrange	waterrange	earthrange	astralrange	deathrange	naturerange	bloodrange	tmpfiregems	tmpairgems	tmpwatergems	tmpearthgems	tmpastralgems	tmpdeathgems	tmpnaturegems	tmpbloodslaves	gf	ga	gw	ge	gs	gd	gn	gb	berserk	bers	fireshield	banefireshield	iceprot	bloodvengeance	pillagebonus	patrolbonus	castledef	supplybonus	researchbonus	heretic	douse	void	diseasecloud	poisoncloud	reaper	crossbreeder	ivylord	spelleffect	startbattlespell	autocombatspell	itemspell	ritual	sumrit	#sumrit	sumauto	#sumauto	sumbat	#sumbat	affliction	restrictions	special	regeneration	restricted1	restricted2	restricted3	restricted4	restricted5	restricted6	aging	corpselord	lictorlord	bloodsac	mastersmith	eyeloss	armysize	defender	cannotwear	reanimH	reanimD	dragonmastery	patience	retinue	noforgebouus	crown	hpbonus	twistfate	nationrebate1	nationrebate2	mason	itemcost1	itemcost2	blesssacredonly	returning	warning	mapmovebonus	slowaging	transformwearer	feeblemindprovince	supayasummonbonus	curseattacker	seduction	bearergainsinsanity	bearergainsinsanitypermonth	infernoret	kokytosret	heataura	wintermove	unhindered	floating	spiritsight	invisibility	diseasegrinder	agingreductiontoallunits	fastcasting	petrification	xpgainpermonth	extralife	bloodsearcher	animalawe2	stormpower	batstartsum2	batstartsum3	batstartsum5d6	iceprot2	goldgen	magiceye	damagereversal	mustfightinarena	inquisitor	assassin	spreaddeathormisfortune	coldaura	flyingmaxtotalsize	flyingmapmove	arenareward	swiftness	taskmaster	leper	siegebonus	invulnerable	horrormarkattacker	entangle	minsizetoequip	maxsizetoequip	minstrtoequip	minhandstoequip	deathgemonkill	deathexplosion	chanceofattackbyknights	singleuse	domspreader	allunitslooklikebearertoscouts	monstermustbepresent	banishkiller	onlyuseablebyfliersormounted	masterritualist	stunattackers	eatforyouth	startitem	swimming	localsun	poisonarmor	curserandomunits	voidbanishchance	voidret	chancetobecomewerewolf	stormimmune	farsail	lesserhorrorattackchance	islance	commaster	comslave	nofind	chestwound	feeblemind	enlargement	limitedenlargement	antimagic	soulvortex	end
1	Fire Sword	1-h wpn	0	F	1			76																																																																																																																																																																																																																																																											
2	Burning Blade	1-h wpn	2	F	1			681																																																																																																																																																																																																																																																											
3	Holy Scourge	2-h wpn	2	F	2			402																																																																																																																																																														50																																																																																													
4	Mace of Eruption	1-h wpn	2	F	2			682																																																																																																																																																																																																																																																											
5	Sword of the Five Elements	1-h wpn	2	F	1	W	1	700																											2																																																																																																											10	52	87																									-60	-60																																																																																									
6	Spear of the Morrigan	1-h wpn	2	D	1	A	1	487																																																																																																																																						19																																																																																																																					
7	Flambeau	2-h wpn	4	F	3			95			5																																																																																																																							Holy Pyre																																				50																																																																																													
8	Fire Brand	1-h wpn	6	F	1	E	1	80			5																2																																																																																																																																																																																																																																								
9	Mercybrand	1-h wpn	2	F	2			661																																																												5																																															10																											50																																																																		1																																																			
10	Ice Sword	1-h wpn	0	W	1			77																																																																																																																																																														56																																																																																													
11	Ice Lance	1-h wpn	0	W	1			693																																																																																																																																																														56																																																																																			1										
12	Ice Mist Scimitar	1-h wpn	2	W	1	A	1	685				10																																																																																																																																																																																																																																																							
13	Coral Blade	1-h wpn	2	W	1			689																																																																																																																																																												8		73	38																																																																																												
14	Frost Brand	1-h wpn	4	W	1			82				5																																																																																																																																																																																																																																																							
15	Sword of Swiftness	1-h wpn	4	W	2			106																																																																																																																																																																																																																																																											
16	Rime Hammer	2-h wpn	6	W	2	A	1	687				10																																																																																																																																																										22																																																																																													
17	Sling of Accuracy	1-h wpn	0	A	1			697																																																																																																																																																																																																																																																											
18	Blacksteel Sword	1-h wpn	0	E	1			691																																																																																																																																																														49																																																																																													
19	Black Halberd	2-h wpn	2	E	1			508																																																																																																																																						49	84																																																																																																																				
20	Stinger	1-h wpn	2	E	1			78																																																																																																																																																																																																																																																											
21	Sword of Sharpness	1-h wpn	2	E	1			74																																																																																																																																																																																																																																																											
22	Axe of Sharpness	1-h wpn	2	E	1			245																																																																																																																																																																																																																																																											
23	Greatsword of Sharpness	2-h wpn	2	E	1			108																																																																																																																																																																																																																																																											
24	Main Gauche of Parrying	1-h wpn	2	E	1			99																																																																																																																																																																																																																																																											
25	Halberd of Might	2-h wpn	2	E	1			107																				4																																																																																																																																																																																																																																							
26	Smasher	1-h wpn	2	E	2			327																																																																																																																																																																																																																																																											
27	Hammer of the Mountains	2-h wpn	2	E	1			130																																																																																																																																																																																																																																																											
28	Lightning Rod	2-h wpn	2	E	1			238		15																																																																																																																																											3																																																																																																														
29	Star of Heroes	1-h wpn	2	E	2			173																																																																																																																																																																																																																																																											
30	Dwarven Hammer	1-h wpn	2	E	3			115										2																																																																																																																																																				20	60																																																																																												
