id	name	rarity	loc	level	path	F	A	W	E	S	D	N	B	gold	res	sup	unr	exp	lab	fort	scale1	scale2	domspread	turmoil	sloth	cold	death	misfortune	drain	fireres	coldres	shockres	poisonres	str	prec	mor	undying	att	darkvision	aawe	rit	ritrng	hmon1	hmon2	hmon3	hmon4	hmon5	voidgate	sum1	n_sum1	sum2	n_sum2	sum3	n_sum3	conj	alter	evo	const	ench	thau	blood	heal	disease	curse	horror	holyfire	holypow	scry	adventure	other	sum4	n_sum4	hcom1	hcom2	hcom3	hcom4	hcom5	mon1	mon2	mon3	mon4	mon5	com1	com2	com3	com4	com5	reveal	provdef1	provdef2	def	F2	A2	W2	E2	S2	D2	N2	B2	awe	reinvigoration	airshield	provdefcom	domconflict	sprite	nationalrecruits	natmon	natcom	throneclustering	wilddefenders	domconflict	rituallevelmodifier	callgodbonus	magicresistancebonus	bringgold	end
1	The Smouldercone	5	0	0	Fire	4															Heat																																																				923	89	87																														0											
2	The Coral Towers	5	0	0	Water			5																																			209																														104																																23											
3	Cathedral of the Spheres	5	0	0	Astral		2	1		5																																	51																														41																																40											
4	Swamps of Pythia	5	0	0	Nature																																						1831																														296					1840																											52											
5	Forest of Avalon	5	0	0	Nature							3																															65	64																													212	2128																															50											
6	Tower of Avalon	5	0	0	Nature		2																																																																		153																																53											
7	The Keep of Ulm	5	0	0	Earth																																						66																														748	1973	1982	113																													29											
8	The Forges of Ulm	5	0	0	Earth				5																																																																																																29											
9	The Temple City	5	0	0	Death						4	2																															783																														177	1366																															47											
10	Tower of a Thousand Stars	5	0	0	Astral					4		1																															747																														301																																38											
11	The Citadel of Frozen Crystal	5	0	0	Water		3	2																																			2547	358																																																													23											
12	Empoisoners Guild	5	0	0	Nature																																						503																														502																																55											
13	The House of Fiery Justice	5	0	0	Holy	4				1																																																								50%							222	223																															76											
14	The Grove of Gaia	5	0	0	Nature							5																															769																																																														50											
15	The Halls of Andvare	5	0	0	Earth				3																																		463																														323																																34											
16	Iron Woods	5	0	0	Nature					1	2	2																															784																														785																																51											
17	The Sunken City	5	0	0	Astral			2		3																																																																																															40											
18	Ravens Vale	5	0	0	Death																																						414																																																														42											
19	Hidden Grove	5	0	0	Nature																																																																				516																																50											
20	Surakid's Tower	5	0	1	Astral					4	2																																																																																														38											
21	Mine of the Cyclops	5	0	0	Earth				2		2																																																																																														25											
22	Bolivar's Tower of Reflections	5	0	3	Air		4																																																																												341																						12											
23	The Unholy Sepulchre	5	0	0	Death						5																																																																																														47											
24	The Unholy Sepulchre	5	0	0	Death						9																																																																																														47											
25	The Unholy Sepulchre	5	0	0	Death						13																																																																																														47											
26	Starke's Ice Cave	5	0	1	Water			4													Cold																																																																																				24											
27	The Queen's Galley	5	0	1	Death						3																																																																																														41											
28	Hoburg	5	0	0	Nature							1				50																																																																																									49											
29	The Ruined Keep	5	0	0	Death						2																																1020																														2477																																41											
30	Temple of the Land	5	0	0	Blood							1																															726																														732																																67											
31	Temple of the Rain	5	0	0	Blood			1																																																																	733																																67											
32	Temple of the Moon	5	0	0	Blood					1																																																															734																																67											
33	High Temple of the Sun	5	0	0	Blood	2							3																														725																														735																																67											
34	House of Fiery Justice	5	0	0	Holy	4				1																																	135																								50%																																						76											
35	Vanhalla	5	0	0	Air		2																																				262	261																													948																																17											
36	Oleg's Alchemical Device	5	0	1	Fire									100																																																																																											6											
37	The Deepest Cave of the Province	5	0	2	Earth				1																																																																																																32											
38	Temple of the Everburning Pyre	5	0	0	Fire	1																																					990																														1970	1966																															6											
39	The Smouldercone	5	0	0	Fire	3															Heat																																																				923	89																															1											
40	The Citadel of Frozen Crystal	5	0	0	Water		1	1																																			2576																														1004																																23											
41	Ravens Vale	5	0	0	Earth				1		1																																2548	1280																													1003																																27											
42	Black Forest	5	0	0	Nature					1		1																																																													1028	1011																															50											
43	The Sacred Swamp	5	0	1	Nature							3																															1859	1850																													1879	761																															52											
44	The Black Temple	5	0	0	Holy																																						738																														1237																																76											
45	The Void Gate	5	0	0	Astral																																											20%																									332																																39											
46	Niefelheim	5	0	2	Air			4			2																																1310	845																													844																																17											
47	Well of Urd	5	0	0	Astral					2	1	1																															784																														281																																35											
48	The Grove of Gaia	5	0	0	Nature							5																															787																																																														50											
49	The Grove of Gaia	5	0	0	Nature				1			3																															704																																																														50											
50	The Heavenly Gate	5	0	0	Astral		1			2																															S	1																															803																																39											
51	The Celestial City	5	0	0	Holy			1	1																																		791																														793	1892																															69											
52	The Celestial City	5	0	0	Holy				1		1																																1577																																																														69											
53	The Bamboo Grove	5	0	0	Nature																																						1544																														940																																50											
54	The Gate of Spring and Autumn	5	0	0	Astral	1		2		2	1																														S	1																															941																																39											
55	Temple of the Dead	5	0	0	Death						3																																1654																														1655																																47											
56	Forest of Avalon	5	0	0	Nature							2																															851																																																														50											
57	Avalon	5	0	0	Nature		3																																				849																														850	848	856																														53											
58	Vanhalla	5	0	0	Air		3		1																																		262																														263	264																															17											
59	Helhalla	5	0	0	Death		1																																				855	1503																													1507	847																															45											
60	God Forest	5	0	0	Nature	1						2																															889	3097																													890																																50											
61	God Mountain	5	0	0	Earth				2																																FAWESDNB	1	876																														894	891	877																														26											
62	The Temple Marsh	5	0	0	Nature			1			2	2																															164	2236	2237																												2238																																55											
63	The City of Tombs	5	0	0	Death	1					3																																1166																														1095																																47											
64	Temple of the Spheres	5	0	0	Astral					1																																																															670																																40											
65	The Desert Eye	5	0	0	Astral					3																																																	40%																																														35											
66	Gold Mine	5	0	0	Earth																																																																																																				26										60	
67	Silver Mine	5	0	0	Earth																																																																																																				26										40	
68	Copper Mine	5	0	0	Earth																																																																																																				26										20	
69	Iron Mine	5	0	0	Earth										40																																																																																										26											
70	The Royal Academy	5	0	0	Earth		1			2																																																															3011	1030	1032																														29											
71	House of Justice	5	0	0	Holy	1																																					2114																								25%						2199	745																															76											
72	Palace of Pearls	5	0	0	Water			4				2																															2387																														2397	2805																															23											
73	Mount Cephalos	5	0	0	Air		2			2																																	1074																														1650	1075																															9											
74	Lykeion	5	0	0	Earth				2																																																																1606																																25											
75	Akademeia	5	0	0	Earth																																																																				1070																																25											
76	Temple Sanguine	5	0	0	Blood																																																																				1967																																64											
77	Temple of the Shroud	5	0	0	Holy	3				3																																	1108																														1112	1111																															68											
78	The Lotus Gardens	5	0	0	Nature					3		2																															1141																														1144																																50											
79	The Carrion Grove	5	0	0	Nature						1	4																															787																																																														51											
80	The Carrion Grove	5	0	0	Nature						1	6																															787																																																														51											
81	The Carrion Grove	5	0	0	Nature						1	9																															787																																																														51											
82	The Wheel of Pain	5	0	0	Earth																																						1157																																																														28											
83	Irminsul	5	0	0	Nature				3		1	2																																																													1161																																54											
84	The Great Cauldron	5	0	0	Blood								2																														1183	1176																													1177	1178																															63											
85	The Bitter Stream	5	0	0	Death			1			3																																1185																																																														43											
86	Steppes of Sauromatia	5	0	0	Death																																						1185																																																														43											
87	High Temple of the Land	5	0	0	Nature							1																															727																														1190	1194																															55											
88	High Temple of the Sky and the Rain	5	0	0	Water		1	1																																																																	1191	1907																															23											
89	Temple of the Moon	5	0	0	Astral					1																																																															1192																																40											
90	Temple of the Sun	5	0	0	Fire	1																																					725																														1193																																6											
91	Carnutes	5	0	0	Nature				2	3		1																															1222																														1223	1204																															50											
92	Temple of the Pure War	5	0	0	Holy		1																																				1247																																																														69											
93	Mountain of the Mystics	5	0	0	Earth	1			1			1																															1248																																																														26											
94	Palace of the Eagle Kings	5	0	0	Air		3	1																																			127	1289																													1286																																14											
95	Mountain of the Oni Kings	5	0	0	Earth	1	1		1		3																																																														1316																																26											
96	Patala	5	0	0	Earth			2	1																																		1318	1319																																																													32											
97	The Jeweled City	5	0	0	Earth					1																																																															1320	1321	1322																														34											
98	Mount Kailasa	5	0	0	Earth				2																																		1327	1328																																																													25											
99	The Lotus Garden	5	0	0	Nature					2		2																																																													1329	1330																															50											
100	Augurs' Circle	5	0	0	Death						1																																																														1115																																41											
101	The Grove of Aphros	5	0	0	Nature			2				4																															2401																														2399																																51											
102	Temple of the Land	5	0	0	Blood							1																															726																														732																																67											
103	High Temple of the Rain	5	0	0	Blood			1																																			1423																														1421	1420																															67											
104	Temple of the Moon	5	0	0	Blood					1																																																															734																																67											
105	Temple of the Sun	5	0	0	Blood	1							1																																																												1424																																67											
106	Mount Shinuyama	5	0	0	Earth	1		1	1		2																																																																																														26											
107	Tombs of the Oracles	5	0	3	Death						2																																																														1438																																48											
108	Mines of the Pale Ones	5	0	3	Earth	1			1						50																																																																																										32											
109	Halls of the Oracles	5	0	3	Earth																																																															1					1457	1467	1468																														32											
110	Roots of the Earth	5	0	0	Earth	1			3																																																																																																32											
111	Halls of the Oracles	5	0	0	Earth																																						2189	2188																								1					2506	1459																															32											
112	The Chamber of the Seal	5	0	0	Death						1																																1456																																																														48											
113	Gnipahålan	5	0	0	Death				1		4																																																														1010																																48											
114	Vanhalla	5	0	0	Air		3																																				1513																														948																																17											
115	The Halls of Andvare	5	0	0	Earth				3																																		463																														323																																34											
116	The Gorge of Ancient Cities	5	0	0	Water			2	1	3																																	1522																														1521	2883																															24											
117	The Carrion Grove	5	0	0	Nature						1																																787																														901	709																															51											
118	The Grove of Gaia	5	0	0	Nature							6																															769																																																														50											
119	The Smouldercone	5	0	0	Fire	5															Heat																						1661																														1542	1538	1537																														1											
120	Temple of the All-Consuming Flame	5	0	0	Fire	1																																					1543																														1536																																6											
121	Temple of the All-Consuming Flame	5	0	0	Fire	1																																					90																																																														6											
122	The Sibylline Caves	5	0	0	Astral					3		1																																																								1					1557																																41											
123	The Cerulean Tower	5	0	0	Water																																						1556																														3172																																21											
124	Gymnasium	5	0	0	Water																																						747																																																														21											
125	The Enchanted Isle	5	0	0	Nature							1																																																																																													57											
126	The Coast of Ice and Bones	5	0	0	Water			3			1																																1630																														1618																																18											
127	The Forest of Avalon	5	0	0	Nature		2					2																															1648																														1666																																50											
128	The Basalt City	5	0	0	Earth	1			3																																		1690																														1695																																34											
129	The Dark Crystal	5	0	0	Water			2																																																																	1702																																24											
130	The Heavenly Gate	5	0	0	Astral		1			1																																																															1712																																39											
131	Sri Pada	5	0	0	Air		1				3																																																														1739	1738																															9											
132	Lanka	5	0	0	Blood							2																															1745	1746	1747																																																												60											
133	Tir na n'Og	5	0	0	Air		3																																				1753																														1754	1773																															9											
134	Mag Mor	5	0	0	Nature				1			2																																																																																													53											
135	Mound of Ancient Kings	5	0	0	Nature		3					2																															849																														856	1774																															53											
136	Isle of Balor	5	0	0	Water		2	1																																			1817	1801																													1802																																25											
137	Rath Chimbaith	5	0	0	Air		1				2																																1790																														1791	1792																															12											
138	The Imperial Capital	5	0	0	Holy																																						763																														765																																68											
139	Temple of the Spheres	5	0	0	Astral					1																																																															1874																																40											
140	Grand Cathedral	5	0	0	Holy					1																																																															1961																																76											
141	Hall of Elders	5	0	0	Astral	1	1			1																																																															1937																																40											
142	Palace of the Sage King	5	0	0	Holy																																						2000																														2001																																68											
143	Temple of the Sage King	5	0	0	Holy	1			1	2																																																															1987																																70											
144	The Twin Cities	5	0	0	Holy						1																																2025	2026																													2011	2027	2028																														68											
145	Mount Seir	5	0	0	Earth	1			2	1																																																																																															25											
146	Gomorrah	5	0	0	Blood								2																														2030																														2031	2032																															62											
147	Mount Hermon	5	0	0	Earth	2			2	1																																																																																															25											
148	Campus Sceleris	5	0	0	Death						1																																809																																																														41											
149	The House of Water	5	0	0	Water			2	1																																		2176																																																														23											
150	The First City	5	0	0	Holy																																																																				2269	2181																															68											
151	The Swamps of Ur	5	0	0	Nature							3																															2962																																																														52											
152	Temple of Storms and Flames	5	0	0	Blood	2	3						2																														2262																														2266																																64											
