record_id	effect_number	duration	ritual	object_type	raw_argument	modifiers_mask	range_base	range_per_level	range_strength_divisor	area_base	area_per_level	area_battlefield_pct	end
0	0		0	Spell	0	0	0	0	0	0	0		
1	109		0	Spell	1	2176	0	0	0	1	0		
2	2		0	Spell	2	2176	0	0	0	1	0		
3	3		0	Spell	2010	160	0	0	0	6	0		
4	600		0	Spell	261	147456	0	0	0	0	0		
5	2		0	Spell	2	2176	0	0	0	6	0		
6	109		0	Spell	5	549757911040	0	0	0	0	0		
7	4		0	Spell	2	128	0	0	0	1	0		
8	7		0	Spell	1004	8320	0	0	0	1	0		
9	3		0	Spell	2010	640	0	0	0	1	0		
10	1		0	Spell	-2	8388608	15	1	0	0	0		
11	11		0	Spell	256	4224	0	0	0	1	0		
12	1		1	Spell	640	0	0	0	0	0	0		
13	11		0	Spell	2199023255552	8405120	0	0	0	1	0		
14	15		0	Spell	1	12599424	0	0	0	0	0		
15	66		0	Spell	10	537002112	0	0	0	1	0		
16	1		1	Spell	360	0	0	0	0	0	0		
17	1		1	Spell	-2	0	0	0	0	0	0		
18	1		1	Spell	304	0	0	0	0	0	0		
19	10		0	Spell	1024	8404992	0	0	0	0	0		
20	11		0	Spell	256	4224	0	0	0	10	0		
21	4		0	Spell	4	128	0	0	0	1	0		
22	1		0	Spell	303	0	0	0	0	0	0		
23	1		0	Spell	361	0	0	0	0	0	0		
24	11		0	Spell	33554432	4224	0	0	0	1	0		
25	1		1	Spell	518	0	0	0	0	0	0		
26	1		1	Spell	303	0	0	0	0	0	0		
27	10		0	Spell	176	16384	0	0	0	0	0		
28	1		1	Spell	561	0	0	0	0	0	0		
29	1		1	Spell	562	0	0	0	0	0	0		
30	38		1	Spell	3233	8388608	0	0	0	0	0		
31	2		0	Spell	150	549755813888	0	0	0	1	0		
32	21		1	Spell	625	0	0	0	0	0	0		
33	21		1	Spell	490	0	0	0	0	0	0		
34	81		0	Spell	58	0	0	0	0	0	0		
35	11		0	Spell	8388608	536875136	0	0	0	1	0		
36	1		1	Spell	564	8388608	0	0	0	0	0		
37	1		1	Spell	593	0	0	0	0	0	0		
38	1		1	Spell	592	0	0	0	0	0	0		
39	3		0	Spell	2010	160	0	0	0	1	0		
40	11		0	Spell	33554432	16777344	0	0	0	0	0	100	
41	599		0	Spell	201	8404992	0	0	0	0	0		
42	66		0	Spell	5	8933504	0	0	0	1	0		
43	11		0	Spell	262144	10485888	0	0	0	1	0		
