number	name	test
0	<Unknown>
1	Storm
2	Friendly Currents
3	Astral Tempest
4	Rigor Mortis
5	Soul Drain
6	Heat
7	Rain
8	<Unknown>
9	Cold
10	Foul Air
11	Acid Storm
12	Wailing Winds
13	Growing Fury
14	Wrath of God
15	Eyes of God
16	Perpetual Storm
17	Eternal Pyre
18	Wrath of the Sea
19	Arcane Nexus
20	Forge of the Ancients
21	Solar Brilliance
22	<Unknown>
23	<Unknown>
24	Enchanted Forests
25	Fire Storm
26	Purgatory
27	Gift of Nature's Bounty
28	Sea of Ice
29	Burden of Time
30	Gift of Health
31	<Unknown>
32	Dark Skies
33	Well of Misery
34	Wrathful Skies
35	Riches from Beneath
36	Divination (?)
37	Astral Projection (?)
38	<Unknown>
39	<Unknown>
40	Light of the Northern Star
41	Second Sun
42	Looming Hell
43	Ghost Ship Armada
44	Illwinter
45	Foul Vapors
46	Mother Oak
47	Maelstrom
48	Earth Blood Deep Well
49	Gale Gate
50	Lure of the Deep
51	Mechanical Militia
52	Guardians of the Deep
53	Fata Morgana
54	Stellar Focus
55	Haunted Forest
56	Utterdark
57	Astral Corruption
58	Influence of the Ark
59	Thetis' Blessing
60	Dome of Flaming Death
61	Dome of Solid Air
62	Frost Dome
63	<Unknown>
64	Dome of Arcane Warding
65	<Unknown>
66	Forest Dome
67	Dome of Corruption
68	Blood Rain
69	Iron Walls
70	Mist
71	Mists of Deception
72	<Unknown>
73	Vafur Flames
74	<Unknown>
75	Wild Hunt
76	<Unknown>
77	Darkness
78	Shark Attack
79	Strands of Arcane Power
80	Kindly Ones
81	<Unknown>
82	<Unknown>
83	Demon Cleansing
84	Relief
85	Quagmire
86	Dance of the Morrigans
87	Blood Vortex
88	Howl
89	Infernal Circle
90	Celestial Rainbow
91	Divine Channeling
92	Ravenous Swarm
93	Vengeful Water
94	Blood Fecundity
95	Trade Wind
96	Fields of the Dead
97	Solar Eclipse
100	Geoglyph
101	Theft of the Sun
