monster_number	nation_number	end
50	5	
201	5	
199	5	
1077	5	
1079	5	
1078	5	
1082	5	
50	6	
1100	6	
1101	6	
1102	6	
1103	6	
1104	6	
1105	6	
2	6	
1106	6	
1107	6	
11	6	
12	6	
1162	7	
1163	7	
1152	7	
1153	7	
1154	7	
1155	7	
1165	7	
1164	7	
1156	7	
1210	8	
1211	8	
1212	8	
1213	8	
1214	8	
1216	8	
1217	8	
1219	8	
1220	8	
1208	8	
1184	9	
1669	9	
1168	9	
1167	9	
1171	9	
1170	9	
1172	9	
794	10	
795	10	
796	10	
797	10	
1901	10	
1904	10	
928	10	
929	10	
788	10	
927	10	
2126	11	
2298	11	
2299	11	
2300	11	
2303	11	
2304	11	
2305	11	
2306	11	
2307	11	
721	12	
722	12	
723	12	
724	12	
860	12	
1882	12	
727	12	
81	13	
82	13	
83	13	
84	13	
213	13	
2564	14	
2566	14	
2565	14	
1287	14	
130	14	
420	14	
1285	14	
1707	14	
1278	14	
419	14	
168	15	
167	15	
166	15	
165	15	
504	15	
171	15	
172	15	
173	15	
1365	15	
239	16	
227	16	
228	16	
1532	16	
708	16	
234	16	
1533	16	
2156	16	
27	16	
2157	16	
1704	16	
1452	17	
1489	17	
1465	17	
1464	17	
1453	17	
1462	17	
447	17	
1488	17	
1495	17	
1469	17	
1749	18	
1758	18	
1757	18	
1756	18	
1751	18	
1814	19	
1812	19	
1813	19	
1796	19	
1797	19	
1798	19	
1799	19	
1679	20	
1508	20	
1509	20	
1510	20	
1504	20	
1679	21	
1508	21	
1509	21	
1510	21	
1504	21	
1302	22	
1303	22	
1304	22	
1305	22	
1306	22	
1307	22	
1308	22	
845	22	
2989	24	
2990	24	
2991	24	
2993	24	
2994	24	
1118	25	
1120	25	
1121	25	
1122	25	
1130	25	
1333	25	
1350	25	
1326	25	
1118	26	
1120	26	
1121	26	
1122	26	
1130	26	
1762	26	
1763	26	
1393	27	
1394	27	
1395	27	
1311	27	
1312	27	
2184	28	
2018	28	
2034	28	
2019	28	
2021	28	
2015	28	
2022	28	
2059	28	
2036	28	
2035	28	
2037	28	
2172	29	
2173	29	
2174	29	
2175	29	
2254	30	
2255	30	
2256	30	
2257	30	
2258	30	
2259	30	
2260	30	
2261	30	
2668	31	
2669	31	
2670	31	
2671	31	
2687	31	
2688	31	
2689	31	
3100	32	
3101	32	
3103	32	
3105	32	
3109	32	
3110	32	
3120	32	
3453	33	
3454	33	
3470	33	
3455	33	
3456	33	
1682	36	
1681	36	
1683	36	
1684	36	
1685	36	
1686	36	
1687	36	
1688	36	
1689	36	
1517	37	
1526	37	
1515	37	
1524	37	
335	37	
1619	37	
336	37	
337	37	
425	37	
1403	37	
2388	38	
1291	38	
2382	38	
2383	38	
2384	38	
1056	38	
2385	38	
2386	38	
2391	38	
1041	39	
2376	39	
2378	39	
2380	39	
1408	39	
50	43	
201	43	
199	43	
14	43	
16	43	
200	43	
150	43	
50	45	
662	45	
663	45	
664	45	
665	45	
666	45	
667	45	
668	45	
11	45	
12	45	
50	46	
684	46	
685	46	
686	46	
687	46	
688	46	
7	46	
689	46	
3	46	
11	46	
12	46	
538	46	
1	47	
2127	47	
61	47	
62	47	
53	47	
59	47	
63	47	
2129	47	
3275	47	
57	47	
1779	48	
1780	48	
1781	48	
1782	48	
1785	48	
1786	48	
1787	48	
2153	49	
417	49	
67	49	
68	49	
71	49	
72	49	
75	49	
76	49	
73	49	
74	49	
77	49	
78	49	
79	49	
80	49	
69	49	
749	49	
218	50	
219	50	
220	50	
221	50	
133	50	
217	50	
134	50	
135	50	
721	51	
1545	51	
1546	51	
1547	51	
1548	51	
1883	51	
726	51	
797	52	
794	52	
795	52	
796	52	
1903	52	
1902	52	
801	52	
802	52	
800	52	
1900	52	
798	52	
788	52	
789	52	
790	52	
2126	53	
878	53	
879	53	
880	53	
1599	53	
882	53	
885	53	
886	53	
1447	54	
1355	54	
1354	54	
1489	54	
1472	54	
2507	54	
2482	54	
372	55	
983	55	
81	55	
82	55	
83	55	
84	55	
213	55	
129	56	
131	56	
128	56	
421	56	
130	56	
420	56	
132	56	
419	56	
168	57	
167	57	
166	57	
165	57	
504	57	
171	57	
172	57	
173	57	
239	58	
227	58	
228	58	
229	58	
230	58	
708	58	
234	58	
235	58	
2156	58	
27	58	
2157	58	
707	58	
2956	58	
233	58	
239	59	
227	59	
228	59	
1532	59	
234	59	
1533	59	
2156	59	
27	59	
2157	59	
1704	59	
142	60	
143	60	
144	60	
145	60	
400	60	
146	60	
3423	61	
541	61	
282	61	
1085	61	
277	61	
276	61	
300	61	
278	61	
279	61	
841	61	
840	61	
842	61	
845	61	
2343	62	
2344	62	
2345	62	
2346	62	
2347	62	
2348	62	
3071	62	
2350	62	
1118	63	
1120	63	
1121	63	
1122	63	
1123	63	
1124	63	
1125	63	
1126	63	
1130	63	
1131	63	
1351	63	
1132	63	
1133	63	
1134	63	
1142	63	
1147	63	
1311	64	
1312	64	
1393	64	
1394	64	
1395	64	
1390	64	
1391	64	
1392	64	
1550	64	
1399	64	
1396	64	
1397	64	
2003	65	
2004	65	
2005	65	
2006	65	
2007	65	
2061	65	
2008	65	
2935	66	
2936	66	
2938	66	
2939	66	
2940	66	
2941	66	
2643	67	
2644	67	
2645	67	
2646	67	
2648	67	
2652	67	
2649	67	
2650	67	
2651	67	
2721	68	
2722	68	
2723	68	
2724	68	
2725	68	
2726	68	
3132	69	
3133	69	
3134	69	
3136	69	
3137	69	
3140	69	
3143	70	
3144	70	
3145	70	
3146	70	
3147	70	
3165	70	
3148	70	
3332	72	
3333	72	
3356	72	
3338	72	
3355	72	
3336	72	
3335	72	
110	73	
111	73	
107	73	
1621	73	
1620	73	
108	73	
1622	73	
206	73	
2862	73	
208	73	
211	73	
1517	74	
1526	74	
1515	74	
1524	74	
335	74	
1619	74	
336	74	
337	74	
424	74	
425	74	
243	74	
331	74	
407	74	
1046	75	
1048	75	
1056	75	
1057	75	
2416	75	
1419	75	
2404	76	
2406	76	
2408	76	
1043	76	
1045	76	
2412	76	
2414	76	
1408	76	
1410	76	
2907	77	
2908	77	
2923	77	
2909	77	
2910	77	
50	80	
201	80	
1551	80	
14	80	
16	80	
1553	80	
1555	80	
1862	81	
1863	81	
1864	81	
2152	81	
1867	81	
1868	81	
2475	81	
11	81	
12	81	
2127	83	
61	83	
62	83	
1578	83	
2452	83	
2453	83	
2455	83	
2454	83	
1642	83	
1400	83	
1641	83	
482	84	
1013	84	
1014	84	
1015	84	
1017	84	
1034	84	
2108	85	
2109	85	
2110	85	
2111	85	
2112	85	
2113	85	
2115	85	
217	85	
721	86	
1545	86	
1546	86	
1547	86	
1548	86	
727	86	
794	87	
795	87	
796	87	
797	87	
1901	87	
1904	87	
928	87	
929	87	
938	87	
939	87	
1238	89	
1239	89	
1240	89	
1241	89	
1243	89	
1244	89	
1245	89	
1246	89	
1675	90	
1676	90	
1677	90	
1447	90	
1355	90	
1354	90	
1352	90	
1437	90	
1449	90	
1450	90	
1090	91	
984	91	
985	91	
986	91	
987	91	
988	91	
989	91	
1972	91	
2564	92	
2593	92	
2594	92	
421	92	
130	92	
420	92	
2571	92	
2572	92	
2573	92	
2574	92	
1279	92	
949	92	
419	92	
168	93	
167	93	
166	93	
165	93	
504	93	
239	94	
2155	94	
227	94	
228	94	
229	94	
2478	94	
697	94	
2957	94	
698	94	
700	94	
702	94	
2148	95	
142	95	
143	95	
144	95	
145	95	
146	95	
853	95	
837	96	
838	96	
3436	96	
3437	96	
3438	96	
277	96	
276	96	
300	96	
278	96	
279	96	
840	96	
841	96	
842	96	
1929	97	
1930	97	
1931	97	
1928	97	
1927	97	
1926	97	
1922	97	
1923	97	
1921	97	
1118	98	
1120	98	
1121	98	
1122	98	
1123	98	
1124	98	
1125	98	
1126	98	
1130	98	
1131	98	
1351	98	
1132	98	
1133	98	
1147	98	
1994	99	
1996	99	
1993	99	
1992	99	
2050	99	
1991	99	
1990	99	
1989	99	
1999	99	
2579	100	
2580	100	
2581	100	
2582	100	
2583	100	
2584	100	
2585	100	
2586	100	
2589	100	
2590	100	
2591	100	
2738	101	
2739	101	
2740	101	
2741	101	
2742	101	
2744	101	
2745	101	
2746	101	
3211	102	
3212	102	
3213	102	
3215	102	
3224	102	
3401	103	
3412	103	
3402	103	
3417	103	
3403	103	
3404	103	
3405	103	
3418	103	
3413	103	
3415	103	
1617	106	
1625	106	
1626	106	
1627	106	
1628	106	
1629	106	
1703	106	
1517	107	
1526	107	
1515	107	
1524	107	
335	107	
1619	107	
336	107	
337	107	
424	107	
425	107	
243	107	
331	107	
407	107	
3024	108	
