monster_number	nation_number	end
250	5	
606	5	
1231	5	
1232	5	
1233	5	
2138	5	
2788	5	
3053	5	
215	6	
250	6	
606	6	
874	6	
1231	6	
1232	6	
1233	6	
2138	6	
2786	6	
2787	6	
1230	7	
1340	7	
1370	7	
2786	7	
138	8	
157	8	
250	8	
812	8	
978	8	
979	8	
1340	8	
1370	8	
2786	8	
134	9	
250	9	
269	9	
606	9	
608	9	
653	9	
657	9	
862	9	
1231	9	
1370	9	
2138	9	
2234	9	
2447	9	
2448	9	
2449	9	
2450	9	
2786	9	
2788	9	
250	10	
499	10	
608	10	
1341	10	
1344	10	
3060	10	
269	11	
606	11	
655	11	
657	11	
957	11	
978	11	
979	11	
1025	11	
1097	11	
1346	11	
2138	11	
2426	11	
2786	11	
2787	11	
2788	11	
3328	11	
3329	11	
3330	11	
3331	11	
3369	11	
3370	11	
3386	11	
3387	11	
3388	11	
269	12	
606	12	
653	12	
657	12	
857	12	
120	13	
269	13	
486	13	
655	13	
957	13	
1025	13	
1097	13	
1384	13	
2137	13	
2138	13	
2608	13	
2788	13	
3328	13	
3329	13	
3330	13	
3331	13	
3346	13	
3369	13	
3370	13	
3386	13	
3387	13	
3388	13	
250	14	
2552	14	
2553	14	
2554	14	
2555	14	
2578	14	
2608	14	
2610	14	
2611	14	
2627	14	
157	15	
269	15	
320	15	
1349	15	
2138	15	
2205	15	
2786	15	
2787	15	
2788	15	
250	16	
606	16	
657	16	
1026	16	
1231	16	
1370	16	
2138	16	
2234	16	
2449	16	
2450	16	
2786	16	
2788	16	
2961	16	
250	17	
269	17	
606	17	
657	17	
1230	17	
1373	17	
1581	17	
1590	17	
2431	17	
2438	17	
2445	17	
2502	17	
2503	17	
2955	17	
3121	17	
250	18	
1905	18	
2234	18	
250	19	
269	19	
979	19	
1898	19	
1899	19	
606	20	
657	20	
606	21	
657	21	
500	22	
605	22	
606	22	
643	22	
644	22	
657	22	
606	24	
657	24	
1340	24	
1370	24	
2450	24	
269	25	
657	25	
979	25	
1339	25	
2457	25	
2788	25	
3088	25	
269	26	
657	26	
979	26	
1339	26	
2550	26	
2788	26	
3088	26	
608	27	
657	27	
2203	27	
2447	27	
2448	27	
2449	27	
2978	27	
159	28	
606	28	
978	28	
979	28	
1025	28	
2082	28	
3346	28	
159	29	
979	29	
2960	29	
3190	29	
3191	29	
1025	30	
2138	30	
2315	30	
2881	30	
3346	30	
269	31	
606	31	
653	31	
657	31	
3192	31	
158	32	
180	32	
606	32	
1231	32	
2138	32	
2785	32	
2786	32	
2788	32	
2790	32	
2791	32	
2881	32	
159	33	
606	33	
978	33	
979	33	
1025	33	
2082	33	
3346	33	
3473	33	
109	36	
179	36	
180	36	
248	36	
269	36	
657	36	
872	36	
961	36	
973	36	
1231	36	
2791	36	
2853	36	
179	37	
180	37	
248	37	
269	37	
546	37	
657	37	
872	37	
961	37	
973	37	
1402	37	
2791	37	
3098	37	
159	38	
179	38	
180	38	
248	38	
269	38	
294	38	
472	38	
657	38	
872	38	
961	38	
973	38	
1232	38	
1233	38	
2460	38	
2463	38	
2791	38	
2850	38	
2851	38	
179	39	
180	39	
248	39	
269	39	
294	39	
472	39	
657	39	
872	39	
961	39	
973	39	
1231	39	
1232	39	
1233	39	
2460	39	
2463	39	
2850	39	
2791	39	
2851	39	
3056	39	
159	40	
472	40	
657	40	
872	40	
2460	40	
2463	40	
2791	40	
2850	40	
2851	40	
2881	40	
3368	40	
250	43	
1231	43	
1232	43	
1233	43	
2138	43	
2786	43	
2787	43	
2788	43	
2881	43	
3053	43	
250	44	
