monster_number	nation_number	end
159	7	
269	7	
656	7	
3076	7	
156	9	
961	9	
216	10	
265	10	
266	10	
472	12	
2789	12	
158	13	
250	13	
265	13	
472	13	
2799	13	
2202	14	
2549	14	
179	15	
158	16	
961	16	
2785	17	
2789	17	
158	20	
269	20	
2802	20	
158	21	
269	21	
2206	21	
158	22	
269	22	
501	22	
1098	22	
2206	22	
2239	22	
2802	22	
3086	22	
158	24	
269	24	
2202	26	
158	27	
216	27	
265	27	
266	27	
2457	27	
138	30	
812	30	
3368	30	
472	31	
2785	31	
2789	31	
472	32	
600	32	
602	32	
961	32	
1230	32	
1342	32	
1348	32	
1343	32	
1371	32	
2431	32	
2851	32	
3203	32	
3204	32	
3205	32	
3208	32	
3209	32	
294	36	
872	36	
2847	36	
180	37	
294	37	
2847	37	
109	38	
109	39	
109	40	
138	44	
385	44	
812	44	
608	44	
978	44	
979	44	
1343	44	
2792	44	
2797	44	
2798	44	
2799	44	
138	45	
812	45	
159	49	
269	49	
656	49	
779	49	
3076	49	
138	50	
157	50	
383	50	
657	50	
779	50	
812	50	
961	50	
978	50	
3076	50	
472	51	
2789	51	
216	52	
265	52	
266	52	
2785	54	
2789	54	
158	55	
250	55	
265	55	
472	55	
2799	55	
2202	56	
2549	56	
179	57	
158	58	
961	58	
158	59	
961	59	
1342	59	
158	60	
269	60	
158	61	
269	61	
501	61	
1098	61	
2206	61	
2239	61	
2802	61	
158	62	
269	62	
158	64	
216	64	
265	64	
266	64	
2457	64	
472	67	
472	68	
872	68	
2785	68	
2789	68	
472	69	
600	69	
602	69	
961	69	
1230	69	
1342	69	
1348	69	
1343	69	
1371	69	
2431	69	
2851	69	
3203	69	
3204	69	
3205	69	
3208	69	
3209	69	
388	70	
2445	70	
2793	70	
2799	70	
158	70	
246	71	
251	71	
249	71	
245	71	
244	71	
485	71	
653	71	
657	71	
1339	71	
2457	71	
2549	71	
2959	71	
872	73	
180	74	
294	74	
2847	74	
109	75	
109	76	
109	77	
2847	77	
138	82	
385	82	
812	82	
608	82	
978	82	
979	82	
1343	82	
159	84	
269	84	
779	84	
3076	84	
138	85	
157	85	
383	85	
657	85	
779	85	
812	85	
961	85	
978	85	
3076	85	
472	86	
2789	86	
216	87	
265	87	
266	87	
216	89	
265	89	
266	89	
2785	90	
2789	90	
158	91	
250	91	
265	91	
472	91	
2799	91	
2202	92	
2549	92	
179	93	
961	94	
158	95	
269	95	
158	96	
269	96	
501	96	
1098	96	
2206	96	
2239	96	
2802	96	
269	97	
2202	100	
2549	100	
472	101	
872	101	
2785	101	
2789	101	
472	102	
600	102	
602	102	
961	102	
1230	102	
1342	102	
1348	102	
1343	102	
1371	102	
2431	102	
2851	102	
3203	102	
3204	102	
3205	102	
3208	102	
3209	102	
158	103	
269	103	
501	103	
1098	103	
2206	103	
2239	103	
2802	103	
472	106	
656	106	
872	106	
180	107	
294	107	
2847	107	
138	108	
