id	name	effect_record_id	att	def	len	nratt	ammo	secondaryeffect	secondaryeffectalways	rcost	weapon	end
1	Spear	1	0	0	3	1	0	0	0	1	1	
2	Pike	2	0	-1	5	1	0	0	0	2	2	
3	Trident	3	0	1	3	1	0	0	0	2	3	
4	Lance	4	1	0	3	1	1	0	0	2	4	
5	Halberd	5	-1	1	3	1	0	0	0	4	5	
6	Short Sword	6	1	1	1	1	0	0	0	2	6	
7	Quarterstaff	7	1	3	3	1	0	0	0	0	7	
8	Broad Sword	8	1	1	1	1	0	0	0	3	8	
9	Dagger	9	1	0	0	1	0	0	0	0	9	
10	Falchion	10	0	0	1	1	0	0	0	4	10	
11	Great Sword	11	1	2	2	1	0	0	0	5	11	
12	Mace	12	0	0	1	1	0	0	0	1	12	
13	Hammer	13	0	-1	1	1	0	0	0	2	13	
14	Maul	14	0	-1	2	1	0	0	0	1	14	
15	Morningstar	15	1	-2	1	1	0	0	0	2	15	
16	Flail	16	1	-2	2	2	0	0	0	3	16	
17	Axe	17	0	-1	1	1	0	0	0	1	17	
18	Battleaxe	18	1	0	2	1	0	0	0	3	18	
19	Bite	19	1	0	2	1	0	0	0	0	19	
20	Bite	20	0	-1	0	1	0	0	0	0	20	
21	Javelin	21	-2	0	0	1	2	0	0	1	21	
22	Sling	22	-2	0	0	1	15	0	0	0	22	
23	Short Bow	23	0	0	0	1	12	0	0	2	23	
24	Long Bow	24	0	0	0	1	12	0	0	3	24	
25	Crossbow	25	2	0	0	-2	12	0	0	3	25	
26	Arbalest	26	2	0	0	-3	10	0	0	4	26	
27	Boulder	27	0	0	0	1	2	0	0	0	27	
28	Long Spear	28	0	-1	4	1	0	0	0	2	28	
29	Claw	29	0	0	-1	1	0	0	0	0	29	
30	Venomous Bite	30	0	-1	0	3	0	51	0	0	30	
31	Coral Spear	31	0	0	3	1	0	50	0	1	31	
32	Coral Knife	32	0	0	0	1	0	50	0	0	32	
33	Claws	33	0	0	-1	2	0	0	0	0	33	
34	Blow Pipe	34	2	0	0	1	15	54	0	1	34	
35	Ice Knife	35	2	0	0	1	0	0	0	1	35	
36	Ice Lance	36	1	0	3	1	0	0	0	2	36	
37	Ice Blade	37	1	1	1	1	0	0	0	4	37	
38	Snake Hair	38	-2	0	0	5	0	50	0	0	38	
39	Free	39	0	0	0	1	0	0	0	0	39	
40	Whip	40	-1	0	4	1	0	0	0	1	40	
41	Bane Blade	41	2	3	2	1	0	64	0	8	41	
42	Bane Blade	42	1	2	1	1	0	64	0	5	42	
43	Poisoned Claw	43	0	0	-1	1	0	54	0	0	43	
44	Ice Mace	44	2	0	1	1	0	0	0	2	44	
45	Coral Club	45	0	0	1	1	0	50	0	1	45	
46	Coral Glaive	46	-1	1	3	1	0	50	0	4	46	
47	Lobster Claw	47	-4	0	0	1	0	0	0	0	47	
48	Fire Flare	48	0	0	5	1	0	0	0	0	48	
49	Iron Prod	49	-2	-1	2	1	0	0	0	4	49	
